restaurant_id,restaurant_name,date,item_id,item_name,category,day_of_week,is_holiday,temperature,rainfall,event,promotion,price,quantity_sold,quantity_prepared,quantity_wasted,ingredient_stock,ingredient_cost,selling_price,sales_previous_day,sales_7_days_ago,rolling_7_day_avg,waste_reason,waste_cost
R001,Restaurant A,2025-01-01,I001,Chicken Biryani,Biryani,2,0,17.17,0.88,0,1,194.5,80,90,10,90,90.45,220,80,80,80.0,Quality issue,904.5
R001,Restaurant A,2025-01-02,I001,Chicken Biryani,Biryani,3,0,15.27,0.0,0,0,219.4,76,81,5,71,93.03,220,80,76,78.0,Overproduction,465.15
R001,Restaurant A,2025-01-03,I001,Chicken Biryani,Biryani,4,0,19.17,0.0,0,1,198.85,79,84,5,75,99.42,220,76,79,78.33,Low demand,497.1
R001,Restaurant A,2025-01-04,I001,Chicken Biryani,Biryani,5,0,15.07,0.41,0,0,215.9,82,93,11,76,93.21,220,79,82,79.25,Overproduction,1025.31
R001,Restaurant A,2025-01-05,I001,Chicken Biryani,Biryani,6,0,13.65,9.08,0,0,220.86,87,99,12,56,90.68,220,82,87,80.8,Overproduction,1088.16
R001,Restaurant A,2025-01-06,I001,Chicken Biryani,Biryani,0,0,13.39,2.29,0,0,216.84,67,75,8,76,97.59,220,87,67,78.5,Overproduction,780.72
R001,Restaurant A,2025-01-07,I001,Chicken Biryani,Biryani,1,0,18.45,1.36,0,1,200.88,88,97,9,60,93.2,220,67,88,79.86,Overproduction,838.8
R001,Restaurant A,2025-01-08,I001,Chicken Biryani,Biryani,2,0,18.06,3.76,0,0,222.29,82,90,8,89,95.22,220,88,80,80.14,Overproduction,761.76
R001,Restaurant A,2025-01-09,I001,Chicken Biryani,Biryani,3,0,16.66,0.0,0,0,219.21,70,78,8,57,93.0,220,82,76,79.29,Overproduction,744.0
R001,Restaurant A,2025-01-10,I001,Chicken Biryani,Biryani,4,0,18.36,1.85,0,0,222.71,74,84,10,62,92.42,220,70,79,78.57,Overproduction,924.2
R001,Restaurant A,2025-01-11,I001,Chicken Biryani,Biryani,5,0,17.17,0.0,0,0,216.65,87,93,6,88,95.18,220,74,82,79.29,Low demand,571.08
R001,Restaurant A,2025-01-12,I001,Chicken Biryani,Biryani,6,0,17.15,0.0,0,1,198.87,94,102,8,57,98.88,220,87,87,80.29,Overproduction,791.04
R001,Restaurant A,2025-01-13,I001,Chicken Biryani,Biryani,0,0,16.62,0.3,0,0,218.84,64,71,7,85,91.11,220,94,67,79.86,Order cancellation,637.77
R001,Restaurant A,2025-01-14,I001,Chicken Biryani,Biryani,1,0,14.76,0.0,0,1,198.1,76,81,5,73,96.81,220,64,88,78.14,Overproduction,484.05
R001,Restaurant A,2025-01-15,I001,Chicken Biryani,Biryani,2,0,15.24,5.28,0,0,222.79,70,77,7,72,91.13,220,76,82,76.43,Order cancellation,637.91
R001,Restaurant A,2025-01-16,I001,Chicken Biryani,Biryani,3,0,17.38,0.0,0,0,223.41,78,87,9,70,91.79,220,70,70,77.57,Order cancellation,826.11
R001,Restaurant A,2025-01-17,I001,Chicken Biryani,Biryani,4,0,17.51,0.0,0,0,221.34,67,71,4,78,93.34,220,78,74,76.57,Low demand,373.36
R001,Restaurant A,2025-01-18,I001,Chicken Biryani,Biryani,5,0,18.92,0.18,1,0,217.93,104,111,7,92,98.72,220,67,87,79.0,Low demand,691.04
R001,Restaurant A,2025-01-19,I001,Chicken Biryani,Biryani,6,0,17.09,0.0,0,0,218.07,97,101,4,73,99.18,220,104,94,79.43,Quality issue,396.72
R001,Restaurant A,2025-01-20,I001,Chicken Biryani,Biryani,0,0,16.68,0.0,0,0,224.08,77,87,10,69,98.34,220,97,64,81.29,Overproduction,983.4
R001,Restaurant A,2025-01-21,I001,Chicken Biryani,Biryani,1,0,17.63,5.94,0,1,198.91,71,81,10,66,98.59,220,77,76,80.57,Low demand,985.9
R001,Restaurant A,2025-01-22,I001,Chicken Biryani,Biryani,2,0,19.44,0.0,0,0,223.23,80,91,11,80,97.83,220,71,70,82.0,Low demand,1076.13
R001,Restaurant A,2025-01-23,I001,Chicken Biryani,Biryani,3,0,19.26,3.85,0,1,198.62,86,90,4,79,92.97,220,80,78,83.14,Low demand,371.88
R001,Restaurant A,2025-01-24,I001,Chicken Biryani,Biryani,4,0,16.48,0.0,0,0,221.08,80,84,4,64,95.39,220,86,67,85.0,Low demand,381.56
R001,Restaurant A,2025-01-25,I001,Chicken Biryani,Biryani,5,0,13.46,1.71,0,1,194.24,97,110,13,98,94.14,220,80,104,84.0,Overproduction,1223.82
R001,Restaurant A,2025-01-26,I001,Chicken Biryani,Biryani,6,1,16.64,0.0,0,0,224.0,99,110,11,85,94.24,220,97,97,84.29,Overproduction,1036.64
R001,Restaurant A,2025-01-27,I001,Chicken Biryani,Biryani,0,0,20.21,0.0,1,1,200.82,88,98,10,65,94.92,220,99,77,85.86,Overproduction,949.2
R001,Restaurant A,2025-01-28,I001,Chicken Biryani,Biryani,1,0,17.25,0.0,0,1,197.01,71,78,7,90,96.51,220,88,71,85.86,Overproduction,675.57
R001,Restaurant A,2025-01-29,I001,Chicken Biryani,Biryani,2,0,18.24,0.0,0,0,219.02,68,75,7,79,99.19,220,71,80,84.14,Overproduction,694.33
R001,Restaurant A,2025-01-30,I001,Chicken Biryani,Biryani,3,0,18.5,0.0,0,1,200.49,76,81,5,70,96.22,220,68,86,82.71,Order cancellation,481.1
R001,Restaurant A,2025-01-31,I001,Chicken Biryani,Biryani,4,0,19.65,0.0,0,0,224.32,77,83,6,83,93.49,220,76,80,82.29,Quality issue,560.94
R001,Restaurant A,2025-02-01,I001,Chicken Biryani,Biryani,5,0,17.68,1.1,1,0,220.05,111,125,14,85,93.95,220,77,97,84.29,Overproduction,1315.3
R001,Restaurant A,2025-02-02,I001,Chicken Biryani,Biryani,6,0,18.86,6.99,0,0,218.18,84,90,6,94,97.77,220,111,99,82.14,Low demand,586.62
R001,Restaurant A,2025-02-03,I001,Chicken Biryani,Biryani,0,0,18.28,0.0,0,0,218.69,66,69,3,73,96.12,220,84,88,79.0,Overproduction,288.36
R001,Restaurant A,2025-02-04,I001,Chicken Biryani,Biryani,1,0,18.89,0.0,0,1,194.71,77,88,11,71,97.97,220,66,71,79.86,Quality issue,1077.67
R001,Restaurant A,2025-02-05,I001,Chicken Biryani,Biryani,2,0,17.07,1.44,0,0,216.58,70,76,6,61,90.78,220,77,68,80.14,Overproduction,544.68
R001,Restaurant A,2025-02-06,I001,Chicken Biryani,Biryani,3,0,19.25,1.04,0,0,218.11,66,74,8,82,90.37,220,70,76,78.71,Quality issue,722.96
R001,Restaurant A,2025-02-07,I001,Chicken Biryani,Biryani,4,0,19.16,0.0,0,0,221.14,72,80,8,82,95.8,220,66,77,78.0,Order cancellation,766.4
R001,Restaurant A,2025-02-08,I001,Chicken Biryani,Biryani,5,0,23.19,0.0,0,0,220.74,78,82,4,115,96.88,220,72,111,73.29,Overproduction,387.52
R001,Restaurant A,2025-02-09,I001,Chicken Biryani,Biryani,6,0,20.82,0.41,0,0,223.96,80,89,9,80,99.11,220,78,84,72.71,Order cancellation,891.99
R001,Restaurant A,2025-02-10,I001,Chicken Biryani,Biryani,0,0,21.38,0.0,0,0,222.98,69,75,6,69,90.79,220,80,66,73.14,Order cancellation,544.74
R001,Restaurant A,2025-02-11,I001,Chicken Biryani,Biryani,1,0,19.14,1.33,0,0,219.56,72,76,4,100,92.42,220,69,77,72.43,Low demand,369.68
R001,Restaurant A,2025-02-12,I001,Chicken Biryani,Biryani,2,0,16.17,0.0,0,0,220.18,81,91,10,83,98.58,220,72,70,74.0,Overproduction,985.8
R001,Restaurant A,2025-02-13,I001,Chicken Biryani,Biryani,3,0,20.64,0.59,0,1,196.82,92,101,9,73,98.84,220,81,66,77.71,Overproduction,889.56
R001,Restaurant A,2025-02-14,I001,Chicken Biryani,Biryani,4,0,22.47,0.0,0,0,216.89,73,83,10,71,94.61,220,92,72,77.86,Quality issue,946.1
R001,Restaurant A,2025-02-15,I001,Chicken Biryani,Biryani,5,0,15.45,0.0,1,1,195.05,111,117,6,70,91.98,220,73,78,82.57,Overproduction,551.88
R001,Restaurant A,2025-02-16,I001,Chicken Biryani,Biryani,6,0,19.57,0.26,0,1,195.38,104,111,7,57,91.4,220,111,80,86.0,Overproduction,639.8
R001,Restaurant A,2025-02-17,I001,Chicken Biryani,Biryani,0,0,18.71,0.0,1,0,221.13,75,79,4,109,90.83,220,104,69,86.86,Overproduction,363.32
R001,Restaurant A,2025-02-18,I001,Chicken Biryani,Biryani,1,0,21.16,0.0,0,0,221.04,77,83,6,86,90.6,220,75,72,87.57,Overproduction,543.6
R001,Restaurant A,2025-02-19,I001,Chicken Biryani,Biryani,2,0,21.2,0.0,0,0,220.29,74,79,5,68,90.44,220,77,81,86.57,Overproduction,452.2
R001,Restaurant A,2025-02-20,I001,Chicken Biryani,Biryani,3,0,18.88,0.0,0,0,222.54,64,70,6,65,95.82,220,74,92,82.57,Low demand,574.92
R001,Restaurant A,2025-02-21,I001,Chicken Biryani,Biryani,4,0,18.22,0.0,0,0,218.73,71,81,10,74,91.22,220,64,73,82.29,Overproduction,912.2
R001,Restaurant A,2025-02-22,I001,Chicken Biryani,Biryani,5,0,19.11,0.0,0,0,216.31,81,88,7,91,91.31,220,71,111,78.0,Overproduction,639.17
R001,Restaurant A,2025-02-23,I001,Chicken Biryani,Biryani,6,0,19.38,0.0,0,0,220.63,91,97,6,78,93.32,220,81,104,76.14,Overproduction,559.92
R001,Restaurant A,2025-02-24,I001,Chicken Biryani,Biryani,0,0,17.41,0.0,0,0,216.96,72,78,6,66,93.45,220,91,75,75.71,Overproduction,560.7
R001,Restaurant A,2025-02-25,I001,Chicken Biryani,Biryani,1,0,22.8,0.0,0,0,219.75,68,74,6,87,98.14,220,72,77,74.43,Quality issue,588.84
R001,Restaurant A,2025-02-26,I001,Chicken Biryani,Biryani,2,0,21.66,0.0,0,0,216.83,68,76,8,59,91.81,220,68,74,73.57,Low demand,734.48
R001,Restaurant A,2025-02-27,I001,Chicken Biryani,Biryani,3,0,21.62,0.0,0,0,219.46,87,94,7,72,97.35,220,68,64,76.86,Overproduction,681.45
R001,Restaurant A,2025-02-28,I001,Chicken Biryani,Biryani,4,0,21.82,0.0,0,0,216.63,70,79,9,78,91.57,220,87,71,76.71,Low demand,824.13
R001,Restaurant A,2025-03-01,I001,Chicken Biryani,Biryani,5,0,22.57,3.98,0,0,217.79,104,116,12,64,97.49,220,70,81,80.0,Order cancellation,1169.88
R001,Restaurant A,2025-03-02,I001,Chicken Biryani,Biryani,6,0,23.5,0.0,0,0,222.62,81,85,4,75,97.09,220,104,91,78.57,Low demand,388.36
R001,Restaurant A,2025-03-03,I001,Chicken Biryani,Biryani,0,0,22.39,0.0,0,0,220.73,86,93,7,92,91.71,220,81,72,80.57,Low demand,641.97
R001,Restaurant A,2025-03-04,I001,Chicken Biryani,Biryani,1,0,26.58,0.0,0,0,221.73,73,83,10,75,95.72,220,86,68,81.29,Low demand,957.2
R001,Restaurant A,2025-03-05,I001,Chicken Biryani,Biryani,2,0,25.01,5.83,0,1,201.84,77,87,10,77,98.51,220,73,68,82.57,Overproduction,985.1
R001,Restaurant A,2025-03-06,I001,Chicken Biryani,Biryani,3,0,18.57,0.0,0,1,196.68,93,100,7,95,93.54,220,77,87,83.43,Overproduction,654.78
R001,Restaurant A,2025-03-07,I001,Chicken Biryani,Biryani,4,0,21.42,0.0,0,0,219.99,84,91,7,89,95.77,220,93,70,85.43,Low demand,670.39
R001,Restaurant A,2025-03-08,I001,Chicken Biryani,Biryani,5,0,21.69,0.0,0,0,216.19,76,85,9,80,92.2,220,84,104,81.43,Overproduction,829.8
R001,Restaurant A,2025-03-09,I001,Chicken Biryani,Biryani,6,0,22.29,0.0,0,0,220.21,80,87,7,78,91.72,220,76,81,81.29,Overproduction,642.04
R001,Restaurant A,2025-03-10,I001,Chicken Biryani,Biryani,0,0,19.68,0.08,1,1,199.71,88,97,9,55,92.45,220,80,86,81.57,Low demand,832.05
R001,Restaurant A,2025-03-11,I001,Chicken Biryani,Biryani,1,0,21.58,0.15,0,0,221.96,76,86,10,87,96.6,220,88,73,82.0,Overproduction,966.0
R001,Restaurant A,2025-03-12,I001,Chicken Biryani,Biryani,2,0,23.95,0.0,0,1,195.48,78,86,8,88,98.02,220,76,77,82.14,Overproduction,784.16
R001,Restaurant A,2025-03-13,I001,Chicken Biryani,Biryani,3,0,21.49,0.0,0,0,220.46,62,67,5,85,97.5,220,78,93,77.71,Overproduction,487.5
R001,Restaurant A,2025-03-14,I001,Chicken Biryani,Biryani,4,0,22.96,4.0,0,1,196.17,90,98,8,76,91.57,220,62,84,78.57,Order cancellation,732.56
R001,Restaurant A,2025-03-15,I001,Chicken Biryani,Biryani,5,0,23.21,0.0,1,0,216.64,104,114,10,73,96.44,220,90,76,82.57,Low demand,964.4
